2 50
25 24 2031
49 27 2359
59 54 1892
80 30 2231
32 48 2394
78 57 2133
99 26 2867
69 60 1556
7 17 2067
31 98 1794
13 49 1562
95 34 2862
90 97 2169
100 21 1880
79 94 2307
59 7 2807
88 65 2131
29 51 1793
97 84 1931
41 36 2304
59 47 2491
10 57 1945
82 69 1598
56 59 1958
19 22 2480
23 80 2737
5 49 2603
17 64 2738
20 34 2820
26 20 1888
45 37 2153
9 99 1831
71 95 2443
48 25 1973
25 4 2450
82 100 2769
53 30 1933
80 56 1595
53 42 2655
86 46 2205
60 88 2262
52 85 1732
11 91 2164
48 61 2347
100 93 2852
49 71 1793
99 100 2430
9 88 2699
75 43 2704
91 57 1992
