2 50
25 91 1364
51 82 1142
77 82 1916
77 43 2444
75 67 2774
45 29 1925
27 15 2028
10 70 1840
34 48 2535
14 91 2328
83 48 2103
8 4 1539
83 5 971
55 47 2373
16 19 2298
50 75 2726
39 93 1725
60 61 2271
87 53 1726
37 11 1237
14 63 1485
6 69 1988
54 47 1616
6 78 2090
86 90 1292
45 13 2387
38 34 1910
21 63 1766
72 13 2117
55 51 1795
21 29 1942
55 19 2678
47 16 1835
87 48 1337
4 53 1066
1 73 1800
35 93 1151
74 19 2469
97 4 1358
46 57 1668
67 25 1402
42 42 1009
63 67 1789
77 76 1222
24 96 2749
70 84 1084
5 50 1095
76 65 2258
16 4 1885
91 14 2703
