2 50
3 9 1326
97 66 1330
18 10 764
78 98 1251
89 31 1909
9 97 1595
34 28 876
79 21 2017
97 55 1412
67 21 1386
89 78 1819
53 38 1678
6 65 1865
57 82 1124
87 22 966
93 25 1642
97 2 672
84 35 992
40 2 1421
33 65 1032
7 61 1137
23 50 2116
71 36 1841
26 8 1478
49 87 2031
94 27 1321
35 26 1666
54 82 618
13 29 523
3 38 1501
84 11 1904
66 11 869
24 25 2153
44 84 699
92 100 901
13 45 667
63 20 1486
100 70 242
72 20 1831
72 7 2011
8 70 1912
29 54 1202
19 69 1145
80 49 1392
28 24 902
33 12 1555
54 29 488
48 25 2146
71 82 1023
66 78 494
