2 50
70 38 976
9 46 1065
44 12 132
89 20 1368
50 89 337
67 19 1133
100 34 255
19 27 260
7 32 523
66 75 1104
74 83 1006
92 61 1018
26 6 983
58 80 1017
7 97 1393
60 34 1675
60 2 121
40 35 739
32 76 1377
87 77 1655
30 45 33
84 34 346
90 14 382
78 3 98
78 48 1573
77 30 712
52 61 1097
32 58 712
96 87 126
13 85 80
84 85 182
29 83 6
2 68 983
50 54 931
38 87 95
14 21 950
97 97 1445
70 96 1493
41 50 397
71 32 645
93 53 382
87 27 7
68 90 1393
92 95 905
73 68 1361
68 71 38
98 92 896
20 86 422
65 23 191
35 51 1035
