2 50
26 30 2001
56 53 2188
13 92 2074
20 83 2238
54 85 2026
53 3 1959
3 88 2099
100 19 1924
7 31 2162
36 25 2118
70 96 1907
55 5 2213
31 14 2174
12 62 1808
49 91 1930
59 55 1817
39 91 1805
38 57 2198
75 50 2057
94 75 2119
48 19 1763
22 51 2180
6 71 1927
4 7 2230
3 56 1797
55 31 2029
44 60 2117
20 29 2041
73 28 2060
19 48 1988
5 60 1812
82 81 2088
32 34 2158
38 58 1883
38 54 1887
93 94 2108
8 40 2101
98 34 1853
61 48 2104
85 76 1848
30 70 2029
49 57 2119
94 6 1919
13 99 1915
73 89 2125
67 69 2034
87 21 2244
75 39 2042
80 92 1921
44 37 1843
