2 50
17 34 2691
97 12 2457
6 100 2366
40 37 1995
33 19 1792
3 99 2344
27 45 1969
94 49 2782
80 46 1516
84 72 2335
76 61 1804
7 68 2272
31 33 2594
72 100 1506
76 100 2270
16 72 2314
99 71 2466
66 30 2547
21 28 2017
38 72 1800
11 32 2291
85 25 1714
65 67 2210
66 70 2853
24 2 1964
72 27 2338
66 88 2825
37 14 1567
22 44 1986
67 31 2497
30 37 2783
85 40 2544
83 90 2161
64 11 1511
56 96 2348
71 50 2223
87 61 2427
87 79 1720
93 99 1838
55 52 2224
87 89 2537
27 32 2467
52 18 1916
58 95 1642
13 54 1773
50 46 2363
23 68 2324
27 98 2333
79 34 2397
97 43 2616
