2 50
68 63 1998
80 69 1509
50 58 1894
71 8 1652
96 2 1991
76 32 1643
39 97 2226
53 15 2219
83 11 1460
39 11 2560
94 9 1631
96 32 1674
73 4 2430
59 89 2015
68 67 1601
53 32 1991
64 30 2065
86 100 1676
67 13 1603
45 91 2513
14 41 1610
15 87 2568
29 25 2591
12 48 1525
48 31 2159
16 21 1873
1 48 1662
46 96 2554
18 69 2567
35 58 2041
41 28 2344
37 47 1748
33 54 1420
44 85 2110
46 38 1382
93 72 1391
8 46 2630
41 25 2170
64 97 1685
12 79 2297
64 45 1442
90 47 2596
96 85 1710
98 9 2557
24 77 2370
77 36 1399
35 60 2045
22 46 1381
5 71 2487
80 16 1529
