2 50
89 67 2164
64 3 2187
76 23 2189
5 63 2170
57 80 2085
56 86 2203
85 87 1863
20 20 1830
76 29 1974
100 39 2116
93 98 1904
4 37 1974
98 51 1922
53 69 1976
18 7 2112
28 59 1917
75 99 2063
65 75 1932
65 84 2133
6 85 2279
53 25 2152
85 6 1864
6 65 2124
73 26 2223
45 24 1813
86 51 2198
18 36 1809
50 20 2076
82 83 2252
64 73 2213
47 75 2191
82 6 2271
42 23 2036
21 35 2178
68 52 2250
26 71 1844
35 26 1862
55 24 2040
86 1 2289
84 50 2145
16 77 1997
98 33 2139
12 46 1798
7 92 2272
24 16 2168
35 79 2014
56 61 1793
31 25 1943
2 33 1841
100 75 2169
