2 50
41 35 949
47 38 135
9 32 632
25 3 819
78 97 540
27 20 121
26 75 633
93 93 730
91 16 344
79 94 547
11 79 241
66 75 291
12 5 274
55 57 773
72 50 758
72 43 943
100 6 825
72 71 801
59 7 909
59 42 532
34 14 183
22 35 704
1 23 635
88 6 446
20 14 187
9 92 192
83 39 93
26 28 782
15 66 268
93 6 256
74 31 779
14 31 153
21 32 585
10 84 608
96 21 710
78 60 690
61 83 42
8 74 646
13 92 797
22 8 853
47 54 128
100 25 938
54 34 664
31 74 523
70 7 601
13 99 149
97 11 549
82 42 138
56 48 121
71 60 411
