2 50
3 48 950
76 37 920
74 82 1700
73 39 1633
7 58 924
15 92 859
71 37 1642
76 15 1312
3 62 1600
58 97 1519
21 61 1593
1 7 1364
36 33 1044
22 81 688
19 85 1069
49 17 1225
38 21 1049
10 28 1135
88 29 1500
53 52 1741
92 3 1243
54 35 1690
61 89 1751
6 62 1637
12 73 976
11 42 1110
89 92 649
17 79 801
96 20 1143
38 43 753
14 34 893
35 49 1687
66 80 1670
37 33 953
97 67 1697
59 59 1357
10 27 1654
20 93 749
57 21 1222
19 30 1353
46 30 1043
53 84 647
49 22 1247
51 71 1257
29 27 1636
45 59 894
97 71 1340
62 58 1471
65 11 1267
12 51 588
