2 50
2 90 1161
30 50 1021
12 64 1253
35 60 1023
62 1 974
7 79 1114
40 77 1385
93 42 1185
24 32 1437
3 65 1171
31 62 1157
76 61 1153
27 84 1409
13 27 1425
30 56 1066
81 97 1093
9 37 1019
74 93 1082
74 99 1257
91 24 996
55 21 1279
38 46 1166
40 63 1280
22 84 1262
6 90 1153
2 21 1101
1 74 1261
67 54 1195
39 28 1075
76 44 1327
34 24 1187
30 4 1281
64 81 1418
13 84 1042
69 98 1219
26 63 1053
89 51 1414
26 51 1370
54 33 1333
13 34 1415
88 21 1246
43 43 1454
95 40 1251
81 17 1424
17 79 1373
19 96 1292
13 61 990
40 14 1175
75 25 1268
86 93 998
