2 50
18 67 319
6 43 416
64 24 640
38 88 441
7 51 488
25 13 716
45 43 520
89 96 586
92 59 654
56 86 617
88 92 542
71 3 428
64 34 661
10 56 472
82 32 301
77 97 546
71 67 277
73 16 572
76 12 792
77 21 553
34 55 677
42 92 282
60 14 542
16 100 478
27 83 427
60 29 432
18 11 728
67 24 773
75 91 718
45 18 417
3 87 653
90 46 808
25 93 501
47 7 292
78 62 607
28 53 587
81 31 536
4 55 431
22 11 433
77 85 805
87 52 336
54 98 298
58 64 436
3 65 615
88 92 278
24 63 601
49 95 646
57 44 723
81 68 476
88 96 434
