2 50
38 91 1186
81 30 664
72 19 982
26 49 1593
82 13 1514
7 46 1484
60 38 1378
6 5 1823
82 34 1193
70 39 730
81 20 744
69 54 1358
16 27 864
26 49 1230
5 7 1828
74 75 1100
52 23 1145
30 39 824
53 79 1353
22 33 1367
65 8 1404
97 11 720
69 7 1166
9 18 663
34 26 963
72 77 809
88 94 1126
90 94 1473
97 30 876
89 69 1161
89 23 821
55 26 717
72 13 864
3 98 1111
99 84 1344
55 52 1258
31 55 802
35 59 1238
66 85 1300
98 72 992
79 100 1002
65 18 1505
84 66 1017
68 6 934
94 10 1394
33 100 711
28 40 1368
54 85 1941
92 93 1456
27 7 1578
