2 50
83 55 1858
17 69 2021
11 87 1943
79 53 2060
54 61 2135
42 35 2084
71 58 2246
38 32 2327
95 83 2283
41 52 1963
12 30 1817
58 65 2322
100 67 2085
21 13 2250
66 42 2331
52 12 1891
69 3 2241
55 5 2051
63 69 2252
24 67 2176
29 11 1819
26 92 2076
72 37 2284
79 37 1878
8 17 2219
60 89 2330
37 1 2191
44 38 1959
87 60 1862
35 59 1877
50 11 2196
68 69 1994
6 98 1849
77 56 2014
73 59 2064
66 38 1871
65 2 2153
85 69 1825
73 93 2300
48 56 2079
58 62 1913
19 28 1967
2 63 2203
52 92 2029
33 98 1903
28 47 1916
22 89 2282
59 87 1907
80 23 2174
83 74 2218
