2 50
7 78 1960
35 51 2160
72 93 2083
50 93 1768
29 30 2532
70 25 1389
83 2 2161
6 64 1537
19 90 2075
55 41 1931
95 32 1774
54 35 1407
62 87 1575
80 87 1740
77 12 1888
36 2 1543
31 75 2569
48 19 2489
42 94 2572
29 75 1538
71 56 1870
81 16 1686
12 25 1861
97 51 1548
47 69 2310
28 22 2619
54 34 1445
57 2 2058
21 62 2330
24 29 1454
52 13 1805
68 30 2223
17 75 2465
67 67 2263
60 92 2460
50 59 2115
2 80 1709
23 26 1894
35 98 2573
65 82 2354
62 12 2470
98 27 1748
14 73 2421
91 33 1454
89 97 2512
79 8 1956
68 52 2153
64 33 2216
7 90 1431
11 51 1404
