2 50
10 19 456
34 22 764
97 52 1162
35 44 157
32 90 342
19 64 168
53 99 1271
18 13 1269
34 2 478
45 20 1182
51 83 171
75 74 170
84 50 1026
73 43 127
92 81 728
6 85 117
39 35 978
1 82 485
69 73 264
43 62 570
95 64 927
18 66 943
45 63 752
22 17 1476
41 62 948
42 97 396
52 51 560
38 42 1400
6 60 845
46 55 773
47 50 1155
35 72 502
71 73 642
40 94 808
41 3 953
97 24 783
35 41 29
27 59 297
53 35 755
90 65 1376
92 100 474
10 11 650
57 62 1218
47 26 1451
19 82 588
9 73 1096
97 91 945
64 33 972
11 44 1275
20 50 529
