2 50
83 91 2026
11 42 2061
20 75 1449
25 8 1514
59 22 1496
19 80 2381
37 100 1769
44 33 1679
65 89 1815
17 35 1609
55 14 1603
7 88 1754
59 51 1563
61 52 1729
25 70 1617
19 2 2368
16 32 1748
39 2 2254
71 21 2275
36 56 1711
84 49 1967
12 9 2143
99 44 1584
86 73 2458
85 41 2313
79 64 1932
62 30 2073
32 29 1794
99 23 2477
49 16 1523
92 1 1764
93 75 2081
25 93 1896
22 67 2169
28 94 1537
54 71 2053
86 22 2478
25 97 1552
93 64 2555
89 28 1533
89 22 1386
24 19 1556
97 32 2333
61 8 1666
45 17 1543
74 50 2186
34 44 1990
95 19 1808
62 75 2185
23 9 1411
