2 50
55 66 290
89 84 774
81 98 602
92 28 1045
35 8 1960
45 38 1279
32 17 609
50 7 417
12 75 1239
92 42 280
34 26 869
55 52 517
67 20 1209
32 69 1807
2 22 1523
79 92 897
92 93 1298
91 77 1200
66 6 849
78 85 1927
77 22 2000
13 17 1714
45 13 313
6 31 1533
21 63 1591
92 1 1813
37 95 1170
21 7 959
73 47 871
27 60 2029
50 12 1875
57 43 2200
47 88 628
62 36 726
18 78 384
79 40 1056
78 53 1970
12 33 606
14 7 635
24 7 382
59 94 1011
30 70 1487
71 44 1923
83 73 397
35 15 440
78 22 1483
79 45 655
21 16 1663
91 94 316
68 29 1912
