2 50
59 28 1529
30 11 1611
56 66 843
60 97 1207
63 98 979
70 19 1478
54 100 1922
83 9 861
69 53 1457
25 91 1949
28 17 1928
38 21 439
23 68 491
35 71 1237
27 46 568
3 97 1086
69 7 1796
25 81 1775
53 46 1319
61 45 2141
34 23 787
50 46 2301
57 58 491
72 13 328
3 54 626
12 49 1357
99 95 1372
61 9 978
27 72 1014
72 96 534
69 40 824
79 58 1494
21 3 507
13 41 2159
68 99 1623
61 76 1054
40 44 994
21 42 624
27 64 1314
66 19 2246
94 99 1603
5 42 2135
80 83 320
63 18 1044
49 91 1447
28 82 1766
26 77 1345
100 22 867
97 56 1210
32 41 1181
