2 50
61 4 1473
85 39 1074
87 52 1507
92 19 1506
99 100 1398
77 39 1591
58 44 200
35 35 922
69 87 1487
80 68 1311
38 33 874
94 72 1246
3 9 1260
44 33 1249
99 81 430
10 52 1250
78 85 194
4 63 357
99 41 490
35 78 327
67 51 1316
100 35 1459
87 92 920
23 33 1006
6 46 953
95 18 1378
62 57 838
63 35 1247
96 82 985
56 55 366
94 45 1105
24 46 331
28 54 703
38 37 591
45 79 970
47 83 509
47 4 534
85 6 1348
17 2 1429
57 6 48
100 48 1524
34 53 1502
60 67 1118
36 96 612
25 9 464
87 80 361
13 60 1596
64 37 1340
24 96 228
61 99 267
