2 50
9 25 367
73 93 276
37 33 431
83 57 488
44 29 721
70 55 412
75 16 584
55 91 484
29 13 663
62 14 609
6 87 487
81 59 639
62 30 685
62 1 728
3 64 448
30 23 575
33 46 638
31 25 718
80 23 355
98 66 497
67 49 747
85 95 506
8 87 347
69 31 688
92 23 477
31 79 666
16 77 391
4 96 753
36 8 283
61 19 657
71 84 658
96 40 581
23 27 582
13 10 756
35 23 698
84 70 535
54 16 655
59 86 441
70 62 585
94 40 760
8 66 561
53 42 327
54 94 456
58 80 579
70 81 628
52 56 321
73 92 315
35 10 305
96 50 682
80 69 657
