2 50
9 48 701
35 21 682
100 10 850
38 9 632
88 12 1370
36 62 446
79 70 70
98 71 108
32 60 1021
62 25 302
74 94 629
7 64 366
55 65 1460
57 85 501
10 51 652
86 37 666
83 67 639
33 90 361
29 17 1400
34 20 444
16 66 940
74 87 248
63 21 353
49 19 206
67 25 184
81 80 954
78 23 117
69 99 834
23 22 1472
70 44 1174
7 15 157
24 5 767
62 4 245
72 15 1004
74 68 421
24 76 1107
17 74 1321
59 65 1231
65 13 49
39 16 608
13 61 1371
1 69 1067
37 42 1327
92 37 472
90 73 769
17 47 877
79 1 97
45 87 500
68 56 973
91 30 190
