2 50
63 31 2145
35 43 1229
25 88 1947
97 63 1271
28 71 1027
53 66 2121
50 25 1764
57 1 998
31 2 1836
19 82 1771
75 76 2817
4 9 2464
78 74 1677
55 86 2374
8 31 2428
9 79 2148
66 37 2096
30 60 1565
78 89 2559
68 21 2097
3 89 2515
41 52 2264
51 91 2304
87 43 1049
29 40 2061
35 12 1476
84 77 2832
27 28 1067
61 52 2772
73 57 1910
66 82 2427
7 4 1693
8 64 1121
77 97 1551
27 16 981
43 43 2067
99 53 1921
24 95 1363
41 46 2193
11 1 1781
98 50 2210
79 50 1060
27 40 2401
42 60 1259
54 29 2251
22 18 2238
11 74 2580
76 3 1616
42 80 1936
64 18 1007
