2 50
10 90 2847
93 57 1892
56 4 2099
8 74 1316
83 68 2624
65 15 2176
12 53 1243
44 13 1429
26 60 2470
71 66 1878
50 22 1672
31 53 1841
71 64 2923
36 21 1123
72 48 1208
99 99 2470
52 78 1892
36 90 1231
34 80 1313
96 25 1683
99 48 2061
84 84 2550
5 24 1136
75 75 2183
26 18 1838
36 28 1277
20 12 2203
56 21 2338
22 10 2192
7 85 1552
38 38 2888
16 59 1838
68 93 2554
30 35 2943
84 23 2696
43 62 1165
15 27 2776
68 96 1227
64 36 1502
7 92 2183
64 54 2392
33 74 2831
6 54 1828
84 55 1172
97 63 1163
14 90 1287
94 10 1735
78 98 2045
14 49 2341
94 25 1320
