2 50
60 96 724
72 72 741
42 62 1141
13 69 216
23 38 734
18 38 728
81 33 940
94 35 766
70 32 757
12 38 346
66 76 88
31 70 340
21 20 220
38 95 20
59 28 397
40 2 715
78 90 1006
73 69 361
37 39 765
76 30 754
99 99 838
8 77 207
5 78 337
4 26 442
27 32 510
52 7 675
72 61 1071
97 94 959
25 52 882
76 75 1046
84 29 1132
30 69 1084
1 49 1036
66 85 550
89 63 1015
99 70 1170
61 12 1152
35 15 243
69 58 241
80 94 14
62 41 402
3 71 823
92 62 638
3 52 535
92 40 787
23 62 239
37 31 1147
2 24 848
9 90 833
93 82 305
