2 50
38 54 1268
87 4 1248
84 23 1993
15 84 1497
90 77 1527
12 5 1467
7 43 1427
24 49 1999
20 5 1433
77 89 1606
39 41 2208
55 94 2050
25 55 1512
49 99 2314
82 78 1717
3 39 1715
51 35 1736
54 63 2317
1 26 1255
36 4 1914
43 47 1853
2 14 1308
15 86 1551
32 23 1720
25 85 1789
48 37 1372
53 1 1904
29 57 2075
44 40 1442
60 38 1744
28 39 1695
28 33 1394
3 20 1434
14 91 1781
93 33 2254
32 80 1273
5 10 1551
24 65 2257
38 46 2296
72 28 2307
10 81 1275
88 25 1268
34 82 1382
37 97 2312
23 87 1977
79 19 1897
93 66 1829
61 31 2152
98 24 2173
16 70 1805
