2 50
16 37 1563
67 67 1123
88 85 1164
82 49 657
78 36 947
57 78 1055
87 38 1335
14 5 1913
95 28 1341
86 96 939
97 96 1074
63 49 1880
89 92 1065
57 19 762
16 84 1858
33 84 1869
39 25 745
37 90 1351
71 49 1563
98 37 1064
63 4 1236
54 59 1613
70 79 1135
90 87 1801
95 8 1767
27 70 1539
22 65 1497
46 51 1812
69 65 1712
18 52 1144
51 4 1076
33 45 1890
79 33 1947
95 37 1715
76 89 745
6 83 1683
20 47 1339
37 63 701
11 35 1556
32 4 1413
45 79 1581
88 24 1169
38 63 832
75 58 1927
60 19 1208
53 4 892
38 87 806
4 30 1355
13 25 1309
13 41 1657
