2 50
12 100 1022
26 92 1089
66 13 670
90 96 1689
58 83 1946
77 55 1281
40 77 1840
49 51 1590
46 5 1423
26 53 1103
33 97 873
53 88 1368
39 60 1127
3 34 923
91 89 1743
91 45 960
40 42 1099
16 95 1493
62 75 1521
24 77 1040
13 84 1568
40 72 980
47 65 1150
53 93 691
6 72 720
62 47 1527
67 88 1608
74 82 1562
29 44 889
100 59 875
72 6 1061
62 61 1426
83 65 1228
100 5 900
59 65 1925
13 1 865
86 13 835
46 10 1819
85 5 1617
29 5 778
18 14 760
23 51 1403
69 71 1103
42 47 1867
99 25 1238
82 16 1737
27 36 1171
34 54 1224
69 51 1630
53 58 1610
