2 50
98 48 2359
56 22 2387
28 48 2378
39 42 1969
88 100 1896
7 43 2085
62 37 2164
81 49 2408
41 81 1995
61 53 2094
6 19 2303
8 73 2392
15 43 2010
17 73 2389
31 100 1933
35 83 1994
95 96 2177
43 88 2355
26 30 2125
98 19 2244
73 55 2377
81 49 2139
54 39 2423
31 6 1910
21 25 2309
91 91 2242
91 100 2059
91 52 2171
27 87 2136
52 44 1947
83 91 2060
23 43 2268
32 63 2044
63 20 1938
68 52 2351
4 75 2280
91 98 2066
67 12 2252
63 39 1928
43 68 2360
97 83 2153
83 35 2102
81 36 2220
49 27 2127
65 63 2378
47 61 2341
64 2 2230
44 49 2194
60 51 2175
37 43 2196
