2 50
70 92 774
62 41 825
45 35 1042
51 6 917
6 59 833
86 45 721
64 82 578
93 14 697
48 34 624
26 55 1310
85 3 927
88 41 542
85 80 541
76 18 609
49 21 965
72 55 709
68 2 158
15 99 301
44 23 503
50 41 508
88 86 342
95 31 1006
13 13 1001
13 4 1292
73 89 1294
63 99 1019
8 82 899
36 32 474
63 38 287
42 86 230
51 60 968
34 53 58
36 8 64
75 79 368
13 36 1016
42 34 991
29 88 529
66 39 957
2 38 1223
67 17 473
65 8 1368
85 3 1055
66 51 426
30 16 1019
33 33 961
59 77 1211
41 9 14
95 79 1033
33 18 1186
16 58 33
