2 50
14 26 2417
83 22 1430
19 77 2025
84 11 1577
64 53 2375
62 30 2535
58 42 1490
8 18 1965
21 61 2531
76 9 1615
78 17 2297
22 8 2353
66 81 1906
49 42 1424
75 13 2213
75 55 2160
79 87 1603
22 82 1376
62 63 1751
99 21 2156
91 94 2172
54 90 2070
91 36 2296
18 65 2134
34 12 2129
46 73 1938
50 36 2533
76 48 2038
89 29 2309
93 36 2181
41 44 2143
33 46 2064
29 58 1468
4 88 2199
35 97 1506
54 17 1648
20 19 1774
11 51 1875
80 94 2450
58 50 2348
31 37 1898
47 19 1820
15 42 1588
34 79 2273
50 16 1515
78 1 1644
26 43 1455
89 34 2437
96 98 1432
78 28 1948
