2 50
49 89 548
6 93 840
5 34 487
55 5 315
35 79 1145
81 86 660
81 29 530
22 57 326
69 74 849
100 44 196
7 37 164
10 86 266
92 69 148
40 13 704
39 34 279
2 69 862
100 96 717
63 81 618
73 69 1053
70 31 1001
8 83 120
48 36 307
53 81 461
67 20 544
18 36 1052
59 67 265
72 53 317
80 17 654
36 65 957
55 8 415
70 61 46
4 67 284
4 19 265
95 89 228
90 21 1181
57 10 792
37 73 587
97 21 1152
46 24 277
84 75 473
80 23 465
42 95 722
24 78 84
86 38 842
8 27 271
24 89 1111
13 99 561
93 100 1121
66 63 866
70 38 390
