2 50
27 29 1534
48 91 881
38 31 2523
58 87 1621
40 61 2118
93 63 2415
4 16 905
54 97 1914
5 50 910
65 10 1352
28 84 1838
92 87 1226
25 14 1029
45 14 2458
52 74 1662
37 23 2456
62 30 2040
17 26 2536
32 4 1107
55 72 2330
35 71 2368
5 2 2219
57 35 2275
35 85 1973
11 44 2064
14 44 1619
19 3 2302
16 6 1531
3 62 1706
35 64 1650
23 41 2627
62 50 2485
88 44 2261
77 57 2076
21 34 2141
88 64 2444
51 35 2032
90 9 1923
75 39 1178
18 3 1661
71 35 1839
91 77 2393
17 23 1850
40 50 2535
58 80 919
49 46 964
3 10 1963
61 44 1466
24 94 934
40 34 2060
