2 50
78 52 1850
64 74 2619
83 53 1934
93 38 2619
6 47 1551
7 49 2605
49 25 2383
30 73 2154
19 84 1955
45 49 2028
16 46 1835
49 68 1543
45 65 2162
92 4 2298
21 13 2470
91 12 1982
47 14 1987
86 52 1525
62 25 2150
43 3 2590
29 92 1870
54 5 2517
10 40 1556
63 34 2129
98 75 1773
65 39 1397
45 7 1565
85 56 2174
32 65 2207
81 13 2346
90 9 1403
67 81 1466
94 58 2513
9 16 1842
43 69 1815
91 80 1901
33 42 2062
75 46 1502
69 5 2291
99 42 2221
82 93 2035
60 16 2185
21 99 2634
50 52 2110
18 7 1997
49 88 1456
92 80 2043
22 97 1762
23 68 1702
4 43 1536
