2 50
15 23 1212
38 19 1166
15 41 1481
12 14 1329
41 97 1182
8 40 1430
38 5 1058
92 7 1313
76 83 1498
79 65 1327
58 98 1450
87 69 1173
12 90 1109
62 99 1023
86 49 1269
51 13 1369
97 40 1463
47 68 1080
6 91 1502
98 39 1233
9 88 1348
87 42 1373
36 33 1477
39 17 1148
3 32 1346
78 21 1372
55 35 1390
46 51 1503
72 48 1091
100 25 1421
32 54 1228
60 54 1479
45 28 1365
53 98 1010
40 93 1293
9 24 1065
14 77 1273
58 54 1255
39 84 1152
37 22 1229
90 73 1129
86 86 1403
28 92 1221
48 7 1272
17 55 1125
86 61 1343
39 17 1324
98 94 1233
20 4 1448
29 47 1247
