2 50
27 95 692
24 57 610
15 68 495
43 96 331
18 79 614
53 73 452
81 94 292
24 81 549
64 43 372
45 26 612
37 25 290
26 33 486
26 89 377
12 9 574
23 20 611
40 18 375
91 55 476
64 32 328
73 18 397
57 17 375
37 69 394
3 84 471
31 55 471
49 35 249
60 32 544
25 4 326
100 30 509
35 23 533
27 12 392
10 35 577
14 62 454
58 78 411
17 11 625
49 94 362
14 55 460
99 54 242
9 11 663
59 72 469
46 59 391
81 88 309
50 48 454
69 100 535
94 78 671
81 5 478
95 67 319
22 46 702
31 89 616
91 9 358
32 64 467
22 35 627
