2 50
82 88 701
32 23 1190
63 68 885
24 25 675
31 16 653
38 10 893
18 57 729
11 97 636
27 32 1112
22 13 740
72 18 1726
78 53 1648
62 95 987
91 18 1049
18 95 1512
1 55 914
82 36 1213
18 69 1564
16 36 1118
66 88 1330
16 7 1312
16 98 1306
57 92 1588
62 83 1266
59 12 1001
27 57 1563
62 17 859
72 57 868
64 11 1673
97 49 1793
2 33 1124
22 95 951
24 15 1057
81 46 1605
33 32 1448
89 47 1448
82 74 1362
76 11 1064
62 79 1699
21 7 881
73 99 1053
25 48 1475
42 55 1075
23 93 1309
55 12 1615
5 45 1391
44 45 1538
41 53 937
84 56 1791
88 78 1036
