2 50
39 69 513
98 36 1140
32 76 547
89 24 647
32 64 330
17 33 993
5 30 1335
38 60 138
99 6 409
83 34 585
67 71 918
17 76 596
17 33 319
33 78 410
71 79 962
3 58 466
83 92 641
31 29 1294
84 62 719
33 66 699
55 71 657
93 70 1013
15 83 475
42 28 955
58 82 354
30 22 1330
58 76 426
2 56 1314
52 37 656
92 95 643
94 44 241
86 32 326
27 11 493
65 2 1179
95 1 1473
90 14 746
100 71 813
16 70 383
96 55 500
98 11 461
63 73 1032
6 2 144
48 42 896
22 89 162
43 51 1306
2 59 577
14 76 543
62 62 672
73 1 848
73 4 473
