2 50
28 44 673
28 49 362
94 21 570
100 23 0
94 61 332
42 73 971
49 30 880
6 16 986
82 47 724
98 13 782
93 21 636
85 17 175
38 55 1047
18 86 1006
15 42 746
30 87 741
71 73 329
30 92 324
49 16 369
62 81 486
16 82 248
67 72 780
44 65 703
5 61 894
61 21 701
1 85 813
82 26 1041
36 4 211
41 2 215
64 55 469
9 92 790
57 2 685
48 30 327
14 19 949
6 88 208
98 91 665
29 18 1069
43 57 335
50 44 671
17 16 323
77 32 827
92 92 678
9 84 3
66 80 748
86 16 212
70 94 978
90 2 600
40 75 96
13 48 566
12 25 597
