2 50
69 4 1801
97 18 1834
33 44 1986
79 8 1921
32 21 1684
76 14 1988
1 79 1841
66 80 2104
9 58 2115
18 85 1981
10 8 1881
58 11 2110
14 25 1981
69 27 1904
38 88 2094
90 22 2099
42 71 1762
29 5 1861
42 83 1895
58 10 1808
49 34 1750
56 67 1967
29 20 1731
33 10 2000
48 95 2067
34 14 1739
74 42 1682
65 13 1712
82 97 1904
5 39 1697
41 54 1852
59 46 1878
72 19 2049
26 86 2025
38 95 2045
68 18 1829
55 14 1959
91 44 1794
90 13 2096
88 70 1919
21 17 1667
47 41 2056
20 94 2000
55 94 2053
71 3 1992
13 22 1935
46 65 1803
87 50 2033
21 89 1836
85 100 1982
