2 50
50 97 2043
70 27 915
99 53 365
64 21 1304
88 56 481
26 57 1214
54 28 1543
41 55 397
75 82 455
42 58 1639
75 69 905
22 87 2038
51 73 1112
63 14 1238
90 64 1529
59 2 919
46 94 957
88 35 2340
27 35 1500
85 85 916
58 37 1793
32 62 1125
57 26 681
72 92 576
65 44 2346
65 58 724
11 40 608
70 85 1308
35 84 1132
95 65 2148
18 48 725
27 84 2039
67 66 1781
43 89 1242
36 21 2245
11 42 581
18 47 1377
76 13 906
27 63 861
3 83 438
74 6 1565
81 44 2348
72 31 2328
100 30 1060
1 60 1836
17 17 1549
72 99 2292
34 40 1889
40 51 914
14 62 1067
