2 50
42 82 485
20 40 627
66 64 552
78 68 355
6 47 636
53 24 661
38 74 345
35 84 637
54 61 260
22 1 357
30 22 276
92 63 490
49 33 338
78 93 698
87 11 624
27 72 630
28 20 715
63 73 539
29 91 520
65 60 634
49 100 345
82 41 279
92 84 446
55 84 462
10 46 380
17 1 357
63 98 581
26 64 329
14 93 551
67 95 451
8 84 391
32 34 692
19 66 517
87 6 393
7 75 379
28 89 595
55 38 262
81 49 477
62 93 326
46 67 486
67 52 302
3 98 763
35 83 320
21 44 670
99 40 402
77 3 617
46 20 529
27 12 560
56 100 642
18 17 480
