2 50
61 63 686
59 64 1741
17 97 1613
10 75 679
68 23 1064
89 57 950
58 82 930
28 76 674
6 63 827
72 64 644
83 67 1118
25 34 1292
3 4 1303
99 11 921
57 92 850
40 57 871
36 37 1243
65 17 1750
55 96 769
76 66 610
79 66 1256
62 76 1694
32 87 1045
64 77 1641
11 45 958
63 20 1590
80 37 1554
68 59 1774
82 32 1189
17 59 729
99 44 1649
1 77 1503
53 24 985
30 3 1507
9 58 701
89 72 1068
24 72 1528
2 56 696
11 29 1358
13 27 1603
16 64 773
43 3 1132
29 93 803
65 76 986
6 47 1488
6 28 1779
54 14 754
47 31 723
3 21 1469
16 85 1651
