2 50
37 68 2224
96 63 2005
35 63 1936
71 36 2363
100 98 2257
42 65 2312
74 88 2041
97 35 2205
33 77 2426
28 59 2424
23 92 2251
26 85 2275
86 92 2030
99 70 2159
22 12 2302
31 99 2352
39 74 2425
45 67 2248
6 5 1933
16 82 2359
79 53 2429
8 40 1969
81 26 2442
12 29 2064
73 91 2350
75 34 2414
80 74 2035
25 65 1957
68 33 2283
36 56 1930
53 58 2397
54 7 2349
52 95 1972
100 31 2185
56 31 2450
63 29 2090
19 45 2145
58 60 2007
67 87 2237
60 50 2361
85 41 2270
12 50 2003
89 47 2053
58 18 2450
8 43 2407
32 57 2285
74 52 1949
49 91 2019
36 80 2207
12 67 2141
