2 50
56 25 2531
81 16 1162
87 31 1543
9 9 2159
55 64 1933
66 56 2088
14 1 2321
50 10 1655
71 12 2176
54 12 1324
50 83 2529
90 75 1181
71 35 1640
5 92 2802
84 60 1818
68 37 2397
22 54 1896
22 21 1823
12 28 2597
4 66 1708
66 57 1318
66 31 2763
64 84 2697
30 6 1020
99 36 1556
6 96 1135
50 36 2113
96 35 988
65 99 1716
74 5 1933
54 79 1378
87 95 1740
94 31 1044
93 90 1724
34 6 2227
59 37 2158
21 22 2759
61 31 1004
37 74 1259
42 23 2079
16 31 1948
45 94 1814
33 65 1197
73 23 2018
63 100 2051
10 74 1329
17 21 1793
23 65 1202
38 11 2893
50 86 2555
