2 50
64 9 1398
47 74 2081
79 16 1759
54 77 1408
52 92 1613
47 29 1667
86 26 2302
65 10 1926
45 91 2484
31 7 1717
38 100 1880
1 12 1530
45 23 1442
30 66 1605
28 6 2535
41 66 2452
91 75 2421
25 43 2164
15 69 2516
93 100 2137
76 94 1547
32 1 2405
74 66 2037
97 8 1912
37 95 2578
74 71 2515
35 97 1517
61 49 2502
2 7 2629
92 30 1624
95 38 1756
86 91 2517
35 90 1976
14 33 2315
7 40 2072
92 76 2240
9 27 2214
80 75 1929
93 65 1588
73 18 1466
49 31 2344
11 61 2127
53 15 2408
85 59 2048
17 70 2321
54 21 1903
32 66 1985
8 92 1580
21 26 2656
45 68 1842
