2 50
12 46 724
23 61 700
92 81 483
9 86 741
92 41 575
24 25 550
83 3 509
62 29 471
83 85 645
1 35 289
13 73 636
73 40 550
76 35 458
58 6 503
69 13 257
55 62 280
25 11 723
6 14 376
10 23 413
46 59 547
6 42 708
31 70 521
94 8 697
68 35 509
55 41 469
27 58 310
91 29 729
61 85 427
38 37 349
95 62 482
61 97 306
53 41 712
34 48 605
8 61 269
73 47 703
30 83 612
19 38 563
21 90 451
65 13 444
68 5 454
71 46 599
43 22 261
85 42 740
80 89 694
86 33 621
97 16 516
56 85 580
84 92 528
75 66 587
81 96 646
