2 50
91 25 462
18 40 543
93 80 263
8 11 244
84 98 599
39 84 350
55 41 299
14 48 675
28 34 688
53 63 655
41 24 362
61 32 620
4 64 259
94 92 259
87 97 631
19 81 313
88 77 665
49 53 421
28 100 576
65 23 480
32 7 353
3 77 672
80 63 672
39 42 721
100 7 575
65 66 401
81 15 504
51 68 672
1 35 433
80 31 619
29 24 345
86 8 407
49 13 618
9 75 571
21 64 266
38 68 390
27 38 539
69 84 571
81 84 707
39 32 443
69 36 394
38 9 582
26 67 643
86 84 527
45 60 378
79 12 664
79 53 433
32 15 624
4 12 641
16 5 681
