2 50
40 23 639
27 21 678
47 79 389
12 80 675
71 61 272
49 35 485
16 36 427
35 57 334
58 83 388
86 61 345
62 79 763
21 36 511
87 10 726
27 2 700
2 29 398
37 77 629
93 32 582
92 9 387
95 89 555
61 45 705
65 78 451
79 90 470
95 91 483
36 30 335
14 47 315
44 16 322
45 54 650
99 94 542
25 63 447
78 69 544
14 78 512
48 84 432
90 45 650
45 92 658
28 27 369
30 43 756
49 77 498
45 56 435
94 56 433
12 41 445
83 38 709
57 90 649
81 44 324
21 82 620
42 97 399
82 94 558
17 17 743
1 54 290
4 37 455
44 79 365
