2 50
92 30 18
28 74 432
36 68 984
59 84 224
7 75 826
68 84 11
60 27 393
91 46 377
89 77 895
91 89 683
16 59 272
33 6 450
36 75 215
64 54 687
39 24 741
29 42 757
53 71 306
32 94 672
99 13 49
56 46 113
92 68 707
100 29 898
55 35 49
93 11 888
11 73 177
54 26 278
48 69 940
14 71 815
3 91 188
53 13 181
39 7 799
77 38 589
45 55 960
62 46 867
97 62 54
39 13 450
94 14 886
35 8 979
32 41 550
12 10 747
52 80 738
24 47 1050
7 72 505
33 21 760
54 81 816
29 55 841
58 35 766
73 2 580
4 39 471
9 2 84
