2 50
84 12 1075
67 9 657
20 83 1425
21 12 1420
42 31 1491
47 22 1603
83 55 643
22 78 1341
17 55 1097
90 58 932
18 14 1811
68 45 1200
56 6 1288
17 62 1538
88 72 1563
23 41 1731
94 15 1300
96 64 1543
40 34 641
87 24 801
23 70 679
58 30 1050
94 36 610
49 80 668
1 15 991
76 56 884
13 92 943
73 31 1713
20 35 1434
14 86 1796
20 57 912
42 29 1291
66 18 763
85 88 1055
21 69 937
44 22 1684
16 54 982
60 95 631
20 100 622
5 33 1361
88 54 961
60 51 1773
32 27 787
56 98 774
61 56 1118
15 100 1415
17 69 1284
68 25 998
90 57 1668
20 23 1638
