2 50
38 79 760
61 59 466
46 60 83
91 17 66
96 68 584
23 65 468
59 93 1030
66 55 829
41 65 1163
55 86 3
71 9 390
59 1 103
1 66 1086
77 77 815
22 2 594
59 41 818
20 33 803
55 23 816
83 49 54
8 78 550
89 27 451
7 99 1425
41 43 60
45 77 1319
4 73 652
60 99 652
9 13 206
54 16 1426
26 24 406
16 49 286
85 76 239
23 90 607
19 53 963
27 56 1195
90 13 696
2 16 112
47 65 140
55 20 839
64 90 949
70 38 964
30 23 665
75 37 412
49 43 439
92 44 76
2 49 188
92 40 409
81 2 863
18 5 441
89 39 707
67 56 392
