2 50
23 91 2669
98 94 1732
74 14 2009
20 96 2327
37 20 2465
24 70 1399
88 93 2258
15 90 3056
78 52 2470
45 64 3060
39 84 3296
100 52 1549
28 38 1650
34 72 2143
55 72 1138
61 44 2185
83 34 2553
66 87 1837
48 32 1988
17 84 3126
82 15 3224
100 5 3232
24 99 2440
26 46 1572
75 35 2841
99 13 3048
68 87 1861
9 100 2691
7 43 1298
4 56 2280
44 20 1351
81 1 2816
83 89 3256
47 75 2239
34 74 2903
8 51 1955
70 99 1267
15 64 1694
3 99 3230
21 47 2249
64 55 1828
21 41 1548
27 50 2615
31 44 2200
44 41 2320
97 97 1295
76 75 1736
41 84 2117
95 91 2664
85 52 2958
