2 50
9 40 2836
7 82 1998
99 82 2028
95 41 1608
23 50 2905
10 23 2271
95 54 2842
85 80 1076
58 20 1069
69 82 1047
24 26 2204
90 15 2103
1 54 2609
57 20 1644
57 54 2587
49 1 2947
7 56 2956
4 6 2183
77 92 1712
83 77 2282
98 18 2322
91 77 1606
57 1 2023
26 39 2024
2 48 1512
77 63 2396
86 81 1146
79 33 1900
7 99 1280
27 44 2786
64 40 1033
41 55 1298
94 46 1044
58 66 1592
20 5 2892
16 39 1348
49 74 2491
28 26 1659
75 95 2727
67 14 1962
18 82 2845
39 5 1957
37 82 2198
51 9 2693
84 64 1409
84 15 2538
98 59 2104
29 49 2939
37 2 2883
77 63 1919
