2 50
37 96 2626
92 70 1883
61 39 2293
46 71 1285
86 51 916
86 20 2307
23 55 1911
15 65 1139
68 1 940
12 13 1618
80 17 1840
49 61 1619
21 18 919
72 47 1662
86 10 1432
79 58 2581
72 57 1880
67 74 1215
36 90 2575
26 6 2006
63 71 1354
22 86 2445
3 10 1753
9 89 1442
22 76 2706
80 4 1683
60 17 1637
84 39 1575
41 60 2161
81 32 1397
3 52 1138
13 37 2730
14 75 1632
53 2 1450
6 22 2366
58 92 1237
61 74 2294
7 12 2254
96 33 1082
9 27 2155
5 15 1328
67 41 2394
31 55 2101
35 56 2304
14 37 1655
48 42 920
78 10 1501
70 91 2607
34 18 2054
7 72 1581
