2 50
60 7 216
61 14 139
65 72 126
20 78 826
57 79 78
10 14 772
18 19 410
71 87 608
8 41 525
13 76 398
40 36 750
2 99 134
1 77 255
43 3 587
82 98 410
28 44 30
43 86 907
59 47 784
26 98 309
94 19 832
97 27 145
13 23 219
83 84 670
91 21 1023
51 76 456
43 70 28
71 11 72
63 42 747
12 13 245
40 86 850
57 76 501
49 53 918
7 95 475
20 96 196
4 23 1018
21 58 802
31 69 987
94 34 37
38 4 87
10 38 326
65 77 34
26 99 491
14 7 877
41 98 452
97 48 147
31 39 809
79 13 839
53 36 496
25 37 697
58 25 1066
