2 50
86 69 509
18 32 279
43 18 254
40 98 288
65 29 618
74 90 642
88 88 665
32 10 617
40 61 368
17 68 547
77 48 710
3 5 398
87 6 380
12 17 311
20 47 288
72 25 277
38 90 607
97 82 468
38 79 524
51 85 264
77 49 585
31 52 453
87 10 407
34 28 451
29 27 470
98 67 268
31 96 300
69 52 724
45 20 250
73 24 257
57 73 467
2 63 472
14 63 474
17 12 713
71 28 284
82 61 715
48 35 379
81 79 604
8 17 253
50 48 669
74 76 403
73 86 457
14 60 516
47 3 314
54 11 653
66 33 389
49 16 300
30 88 314
98 90 494
61 9 473
