2 50
45 34 1802
97 12 1884
62 86 2156
17 64 2142
54 27 1919
26 23 2181
99 100 2207
27 3 2104
58 54 2167
99 8 2244
20 1 2139
31 76 2010
89 99 1977
86 43 1968
92 64 1963
34 66 2073
76 83 2063
12 51 2183
7 20 1978
95 68 2239
37 70 1831
64 25 2025
3 47 2017
90 47 1928
53 13 2176
5 11 1839
96 95 1826
16 10 2243
25 48 1884
63 54 1824
26 100 1925
45 93 2210
9 61 2018
50 73 2088
10 24 1875
17 95 2053
63 84 2084
80 67 1829
88 38 2240
55 84 1850
69 9 1828
26 17 1956
55 52 1887
57 92 2181
11 18 2217
15 5 2257
79 84 2129
90 77 1834
50 50 1946
72 60 2124
