2 50
25 67 857
43 52 278
37 58 1258
17 50 239
9 70 138
46 14 344
68 96 1060
19 18 211
16 78 291
92 38 886
33 67 1085
4 19 428
67 90 794
51 47 765
5 94 348
56 42 996
39 64 1195
41 9 925
8 37 1061
44 57 276
5 34 809
50 10 596
28 13 419
69 93 1382
40 82 1117
26 62 1124
7 5 528
85 22 471
94 38 1240
13 72 783
62 14 1406
34 7 144
15 92 805
69 79 198
17 57 791
97 27 265
84 7 22
63 6 16
28 40 128
57 25 949
61 93 876
18 93 1242
73 84 286
61 28 833
11 79 710
63 78 470
91 98 622
89 16 714
52 12 551
31 80 1034
