2 50
10 33 2270
76 99 1981
44 19 2153
3 58 2213
50 96 2085
87 74 2020
10 66 2052
17 58 2246
21 92 2061
70 85 2270
94 49 2244
65 6 1909
77 40 2186
26 96 1829
52 5 2229
60 86 1860
25 42 2316
62 89 1984
62 14 2115
14 61 1960
98 14 1935
87 64 2180
4 97 2296
43 91 1847
28 29 2214
48 73 1884
81 22 1994
80 11 2216
57 79 2051
22 73 2334
84 39 1857
23 77 2108
59 42 1984
73 29 2098
7 60 2209
59 65 1922
5 61 2007
33 83 2082
75 97 1976
57 46 1961
58 49 2079
22 53 2022
78 67 2246
52 4 2320
17 55 2145
56 31 2244
24 47 2186
34 38 2225
78 57 2155
88 29 1826
