2 50
36 95 2062
48 67 2614
75 90 2285
14 28 1186
54 15 1830
90 18 2216
11 40 2258
83 16 1418
33 89 3079
91 80 1274
80 85 2614
22 26 3247
23 29 1182
93 47 1688
86 83 2204
51 79 2886
18 44 2575
60 53 2693
13 98 1424
68 43 2558
42 81 2408
67 58 2414
69 36 1508
12 66 3237
71 98 3059
83 53 2158
73 70 1525
46 52 2805
73 99 1464
63 87 1221
32 72 1991
36 58 1989
53 39 2474
87 23 2655
15 61 1538
60 59 2529
31 10 2514
68 87 1786
84 60 2970
23 72 1257
59 5 3202
90 86 2862
100 76 1621
5 72 1151
2 69 2127
74 49 1636
11 38 2319
19 20 2675
51 48 3089
40 66 2779
