2 50
38 16 2210
85 74 2145
84 18 1837
47 87 2063
36 78 2065
91 78 2278
82 72 2088
47 38 1933
49 43 2287
56 89 2327
81 67 1963
22 98 2071
52 6 1839
64 91 1863
20 74 2141
93 12 2168
80 100 1997
39 100 2315
67 43 2018
94 66 2061
1 2 1903
77 22 1823
71 60 2236
65 50 2293
9 58 1906
62 83 2089
66 13 1824
50 4 1935
60 5 2089
91 45 2047
4 40 2204
89 48 2151
53 64 2166
52 84 1909
16 24 2161
3 49 1963
26 83 1818
100 40 2314
9 26 2025
46 71 2094
32 55 1987
65 88 2200
18 47 1828
85 42 2248
16 53 1976
57 4 2277
26 47 2118
37 61 1852
31 5 2172
86 36 2055
