2 50
100 59 211
2 6 251
68 14 937
88 98 332
64 24 749
33 39 728
31 88 332
39 24 30
76 97 990
71 87 423
5 41 1020
25 62 119
41 66 1073
33 18 381
57 52 738
78 76 31
9 66 80
65 81 593
89 68 966
80 2 271
9 1 971
95 65 753
66 35 449
90 91 315
2 72 182
96 99 731
52 46 353
76 45 1153
68 25 44
31 26 16
87 98 441
1 31 206
14 35 71
35 76 161
63 2 90
80 32 225
97 52 208
58 93 268
17 55 372
55 61 554
48 2 1126
5 62 686
31 19 1010
19 98 574
57 29 146
29 64 579
24 79 871
78 33 505
19 56 843
75 94 146
