2 50
14 5 819
17 54 787
23 15 1825
73 20 969
28 54 1665
75 29 1657
97 34 714
8 5 639
94 64 1861
29 54 1860
4 39 1389
86 54 1092
27 21 1759
57 11 1863
2 59 1148
53 28 1095
74 13 1772
31 46 696
64 70 1487
11 81 1898
14 80 852
20 65 1717
36 98 975
50 71 907
95 7 1844
100 96 1354
57 83 1298
41 11 714
82 99 1718
45 21 982
39 37 1557
88 66 1913
93 24 1287
31 27 834
80 81 1348
88 100 1084
33 55 699
87 87 1769
41 53 1506
36 60 837
58 69 1257
91 77 1672
71 27 1716
14 53 923
39 78 1420
78 17 1817
22 62 964
80 56 1707
71 91 951
20 40 874
